 ,Track,Slice,X,Y,Distance,Velocity,Pixel Value
1,1,1,1060,1128,-1,-1,1993
2,1,2,1116,1048,31.737,7.934,1339
3,1,3,1092,1000,17.441,4.36,2097
4,1,4,1064,960,15.869,3.967,1845
5,1,5,1172,812,59.545,14.886,1557
6,1,6,1120,732,31.01,7.752,999
7,1,7,1052,564,58.903,14.726,1571
8,1,8,1100,552,16.08,4.02,1547
9,1,9,1200,568,32.913,8.228,1676
10,1,10,1228,580,9.901,2.475,1253
11,1,11,1312,560,28.063,7.016,1695
12,1,12,1448,612,47.321,11.83,1197
13,1,13,1564,728,53.316,13.329,1253
14,1,14,1540,904,57.729,14.432,1780
15,1,15,1536,1064,52.016,13.004,1223
16,1,16,1380,1120,53.868,13.467,1623
17,1,17,1260,1144,39.772,9.943,1795
18,1,18,1340,1220,35.862,8.966,1588
19,1,19,1452,1256,38.234,9.559,1277
20,1,20,1568,1368,52.405,13.101,1080
21,1,21,1632,1520,53.6,13.4,1414
22,1,22,1796,1592,58.21,14.553,1019
23,1,23,1900,1736,57.729,14.432,1041
24,1,24,1936,1904,55.84,13.96,1283
25,2,1,1412,776,-1,-1,1278
26,2,2,1436,728,17.441,4.36,761
27,2,3,1480,760,17.682,4.42,1047
28,2,4,1536,808,23.971,5.993,955
29,2,5,1612,808,24.7,6.175,995
30,2,6,1676,788,21.792,5.448,928
31,2,7,1724,812,17.441,4.36,957
32,2,8,1748,856,16.289,4.072,684
33,2,9,1780,880,13,3.25,821
34,2,10,1832,848,19.844,4.961,917
35,2,11,1832,780,22.1,5.525,1051
36,2,12,1828,724,18.246,4.562,1242
37,2,13,1860,732,10.72,2.68,1096
38,2,14,1860,692,13,3.25,706
39,2,15,1844,640,17.682,4.42,750
40,2,16,1828,576,21.44,5.36,794
41,2,17,1800,536,15.869,3.967,991
42,2,18,1824,468,23.436,5.859,1059
43,2,19,1848,436,13,3.25,896
44,2,20,1892,484,21.162,5.291,908
45,2,21,1956,476,20.962,5.24,756
46,2,22,2020,480,20.841,5.21,623
47,2,23,2036,432,16.444,4.111,774
48,3,1,1096,488,-1,-1,838
49,3,2,1044,420,27.821,6.955,1152
50,3,3,1004,384,17.49,4.372,1382
51,3,4,996,328,18.385,4.596,1556
52,3,5,1028,184,47.942,11.985,1790
53,3,6,1004,84,33.423,8.356,1094
54,3,7,956,28,23.971,5.993,1141
55,3,8,888,28,22.1,5.525,699
56,4,1,372,1180,-1,-1,2292
57,4,2,308,1168,21.162,5.291,1548
58,4,3,268,1216,20.307,5.077,1520
59,4,4,320,1224,17.099,4.275,2090
60,4,5,408,1248,29.645,7.411,1919
61,4,6,468,1256,19.673,4.918,1785
62,4,7,540,1252,23.436,5.859,1778
63,4,8,604,1200,26.8,6.7,1894
64,4,9,668,1216,21.44,5.36,2203
65,4,10,724,1252,21.636,5.409,1346
66,4,11,756,1304,19.844,4.961,1899
67,4,12,792,1368,23.865,5.966,1905
68,4,13,848,1428,26.674,6.668,2347
69,4,14,876,1508,27.547,6.887,2875
70,4,15,848,1564,20.348,5.087,1816
71,4,16,860,1600,12.333,3.083,1755
72,4,17,892,1676,26.8,6.7,1968
73,4,18,976,1732,32.811,8.203,1245
74,4,19,1044,1772,25.64,6.41,1519
75,4,20,1116,1736,26.162,6.54,1595
76,4,21,1160,1640,34.321,8.58,1869
77,4,22,1140,1568,24.286,6.072,1967
78,4,23,1108,1528,16.648,4.162,1745
79,4,24,1100,1444,27.424,6.856,1208
80,4,25,1116,1384,20.181,5.045,1777
81,4,26,1116,1316,22.1,5.525,2097
82,4,27,1164,1260,23.971,5.993,1782
83,4,28,1220,1224,21.636,5.409,1573
84,4,29,1216,1184,13.065,3.266,1320
85,4,30,1152,1136,26,6.5,1520
86,4,31,1100,1104,19.844,4.961,1563
87,4,32,1096,1140,11.772,2.943,1724
88,4,33,1088,1216,24.836,6.209,1461
89,4,34,1060,1264,18.06,4.515,1769
90,4,35,1044,1332,22.704,5.676,1525
91,4,36,964,1392,32.5,8.125,1359
92,4,37,932,1440,18.749,4.687,1470
93,4,38,972,1480,18.385,4.596,1205
94,4,39,1028,1484,18.246,4.562,1232
95,4,40,1088,1504,20.555,5.139,1441
96,4,41,1084,1520,5.36,1.34,1453
97,4,42,1112,1576,20.348,5.087,1799
98,4,43,1132,1612,13.384,3.346,1342
99,4,44,1144,1632,7.58,1.895,1545
100,4,45,1144,1628,1.3,0.325,1281
101,4,46,1180,1620,11.985,2.996,1221
102,4,47,1228,1596,17.441,4.36,1342
103,4,48,1260,1616,12.264,3.066,1818
104,4,49,1284,1668,18.613,4.653,2332
105,4,50,1328,1720,22.138,5.535,1101
106,4,51,1324,1768,15.654,3.914,1582
107,4,52,1344,1832,21.792,5.448,1261
108,4,53,1332,1868,12.333,3.083,1232
109,4,54,1296,1896,14.822,3.706,1251
110,4,55,1260,1928,15.654,3.914,1513
111,4,56,1228,1964,15.654,3.914,1147
112,4,57,1260,2008,17.682,4.42,1156
113,7,1,1276,1196,-1,-1,647
114,7,2,1336,1264,29.473,7.368,690
115,7,3,1376,1336,26.769,6.692,1291
116,7,4,1408,1392,20.962,5.24,1028
117,7,5,1432,1456,22.214,5.554,659
118,7,6,1456,1524,23.436,5.859,826
119,7,7,1464,1608,27.424,6.856,631
120,7,8,1500,1680,26.162,6.54,617
121,7,9,1540,1748,25.64,6.41,671
122,7,10,1580,1828,29.069,7.267,649
123,7,11,1612,1876,18.749,4.687,786
124,7,12,1664,1944,27.821,6.955,765
125,7,13,1720,1976,20.962,5.24,585
126,7,14,1748,2032,20.348,5.087,610
127,8,1,732,1340,-1,-1,514
128,8,2,788,1284,25.739,6.435,583
129,8,3,864,1252,26.8,6.7,525
130,8,4,956,1260,30.013,7.503,618
131,8,5,1060,1276,34.198,8.549,257
132,8,6,1132,1328,28.865,7.216,628
133,8,7,1196,1368,24.528,6.132,613
134,8,8,1212,1448,26.515,6.629,393
135,8,9,1132,1520,34.979,8.745,851
136,8,10,1076,1572,24.836,6.209,484
137,8,11,1016,1568,19.543,4.886,606
138,8,12,928,1544,29.645,7.411,437
139,8,13,848,1512,28.003,7.001,481
140,8,14,788,1488,21.002,5.251,247
141,8,15,804,1432,18.928,4.732,412
142,8,16,876,1392,26.769,6.692,656
143,8,17,932,1352,22.366,5.592,689
144,8,18,972,1288,24.528,6.132,490
145,8,19,944,1216,25.107,6.277,659
146,8,20,900,1152,25.241,6.31,550
147,8,21,864,1068,29.702,7.425,566
148,8,22,844,944,40.821,10.205,467
149,8,23,896,832,40.132,10.033,479
150,8,24,960,776,27.638,6.91,463
151,8,25,1044,764,27.577,6.894,446
152,8,26,1136,752,30.153,7.538,507
153,8,27,1168,704,18.749,4.687,252
154,8,28,1160,648,18.385,4.596,527
155,8,29,1148,568,26.291,6.573,347
156,8,30,1204,512,25.739,6.435,285
157,8,31,1228,472,15.16,3.79,280
158,8,32,1248,432,14.534,3.634,390
159,8,33,1268,424,7.001,1.75,279
160,8,34,1268,432,2.6,0.65,348
161,9,1,324,208,-1,-1,1644
162,9,2,300,192,9.374,2.344,1579
163,9,3,316,120,23.971,5.993,1209
164,9,4,420,76,36.701,9.175,1264
165,9,5,504,8,35.124,8.781,943
166,9,6,588,72,34.321,8.58,1534
167,9,7,620,200,42.88,10.72,1221
168,9,8,508,256,40.696,10.174,656
169,9,9,404,360,47.8,11.95,1260
170,9,10,280,320,42.345,10.586,477
171,9,11,312,380,22.1,5.525,1331
172,9,12,344,520,46.673,11.668,1447
173,9,13,428,612,40.488,10.122,985
174,9,14,384,648,18.476,4.619,1908
175,9,15,280,560,44.276,11.069,455
176,9,16,188,660,44.162,11.04,905
177,9,17,256,732,32.186,8.047,1406
178,9,18,272,728,5.36,1.34,596
179,9,19,244,732,9.192,2.298,1609
180,9,20,204,812,29.069,7.267,1243
181,9,21,188,880,22.704,5.676,1310
182,9,22,156,848,14.708,3.677,1577
183,9,23,108,856,15.815,3.954,1343
184,9,24,60,948,33.725,8.431,980
185,9,25,68,976,9.464,2.366,877
186,10,1,756,716,-1,-1,1121
187,10,2,824,676,25.64,6.41,967
188,10,3,864,720,19.326,4.831,864
189,10,4,812,784,26.8,6.7,933
190,10,5,736,764,25.541,6.385,1076
191,10,6,716,712,18.107,4.527,969
192,10,7,716,664,15.6,3.9,1003
193,10,8,652,624,24.528,6.132,760
194,10,9,628,564,21.002,5.251,868
195,10,10,592,512,20.555,5.139,975
196,10,11,660,484,23.9,5.975,797
197,10,12,736,520,27.331,6.833,898
198,10,13,776,588,25.64,6.41,897
199,10,14,764,632,14.822,3.706,907
200,10,15,704,672,23.436,5.859,725
201,10,16,644,640,22.1,5.525,863
202,10,17,640,584,18.246,4.562,950
203,10,18,700,524,27.577,6.894,327
204,10,19,672,464,21.519,5.38,826
205,10,20,636,400,23.865,5.966,878
206,10,21,660,336,22.214,5.554,729
207,10,22,652,272,20.962,5.24,756
208,10,23,668,216,18.928,4.732,832
209,10,24,668,136,26,6.5,755
210,10,25,712,72,25.241,6.31,841
211,10,26,764,76,16.95,4.237,414
212,10,27,828,56,21.792,5.448,620
213,10,28,884,40,18.928,4.732,734
214,10,29,948,80,24.528,6.132,763
215,10,30,980,152,25.607,6.402,783
216,10,31,984,204,16.95,4.237,736
217,10,32,972,248,14.822,3.706,800
218,10,33,948,288,15.16,3.79,904
219,10,34,976,300,9.901,2.475,647
220,10,35,988,348,16.08,4.02,698
221,10,36,944,380,17.682,4.42,727
222,10,37,912,416,15.654,3.914,872
223,10,38,864,440,17.441,4.36,812
224,10,39,824,448,13.257,3.314,793
225,10,40,788,496,19.5,4.875,756
226,10,41,748,508,13.572,3.393,815
227,10,42,716,524,11.628,2.907,659
228,10,43,652,496,22.704,5.676,818
229,10,44,620,504,10.72,2.68,871
230,10,45,564,516,18.613,4.653,719
231,10,46,508,488,20.348,5.087,822
232,10,47,444,488,20.8,5.2,715
233,10,48,380,464,22.214,5.554,763
234,10,49,360,384,26.8,6.7,766
235,10,50,336,336,17.441,4.36,655
236,10,51,312,248,29.645,7.411,795
237,10,52,316,176,23.436,5.859,673
238,10,53,344,104,25.107,6.277,521
239,10,54,388,84,15.708,3.927,629
240,10,55,428,48,17.49,4.372,681
241,10,56,492,16,23.255,5.814,581
242,11,1,380,1176,-1,-1,2509
243,11,2,300,1160,26.515,6.629,2107
244,11,3,264,1216,21.636,5.409,1695
245,11,4,324,1224,19.673,4.918,1815
246,11,5,404,1256,28.003,7.001,2163
247,11,6,468,1252,20.841,5.21,1849
248,11,7,540,1240,23.723,5.931,1864
249,11,8,608,1200,25.64,6.41,1989
250,11,9,676,1208,22.252,5.563,539
251,11,10,724,1268,24.972,6.243,683
252,11,11,764,1312,19.326,4.831,1191
253,11,12,800,1368,21.636,5.409,1846
254,11,13,860,1432,28.511,7.128,1496
255,11,14,872,1516,27.577,6.894,2007
256,11,15,852,1568,18.107,4.527,2558
257,11,16,860,1600,10.72,2.68,1755
258,11,17,904,1668,26.323,6.581,1373
259,11,18,980,1732,32.291,8.073,593
260,11,19,1044,1772,24.528,6.132,1519
261,11,20,1132,1728,31.976,7.994,375
262,11,21,1168,1632,33.322,8.33,1612
263,11,22,1144,1564,23.436,5.859,1229
264,11,23,1116,1528,14.822,3.706,1573
265,11,24,1100,1440,29.069,7.267,1686
266,11,25,1108,1376,20.962,5.24,1112
267,11,26,1124,1304,23.971,5.993,1571
268,11,27,1164,1256,20.307,5.077,680
269,11,28,1228,1224,23.255,5.814,1222
270,11,29,1220,1184,13.257,3.314,1257
271,11,30,1152,1132,27.821,6.955,1609
272,11,31,1096,1096,21.636,5.409,1542
273,11,32,1084,1144,16.08,4.02,2151
274,11,33,1084,1212,22.1,5.525,1693
275,11,34,1060,1260,17.441,4.36,1632
276,11,35,1060,1328,22.1,5.525,1407
277,11,36,972,1392,35.364,8.841,1697
278,11,37,928,1444,22.138,5.535,1380
279,11,38,956,1480,14.822,3.706,1534
280,11,39,1040,1484,27.331,6.833,1298
281,11,40,1088,1504,16.9,4.225,1441
282,11,41,1080,1516,4.687,1.172,2156
283,11,42,1124,1576,24.181,6.045,1184
284,11,43,1132,1612,11.985,2.996,1342
285,11,44,1144,1644,11.107,2.777,1657
286,11,45,1148,1636,2.907,0.727,1450
287,11,46,1168,1616,9.192,2.298,1348
288,11,47,1224,1596,19.326,4.831,2576
289,11,48,1252,1624,12.869,3.217,1557
290,11,49,1292,1668,19.326,4.831,1382
291,11,50,1324,1720,19.844,4.961,1231
292,11,51,1324,1768,15.6,3.9,1582
293,11,52,1348,1836,23.436,5.859,1358
294,11,53,1328,1880,15.708,3.927,1239
295,11,54,1304,1904,11.031,2.758,1251
296,11,55,1252,1928,18.613,4.653,1111
297,11,56,1236,1980,17.682,4.42,1521
298,11,57,1248,2028,16.08,4.02,1077
299,12,1,1404,784,-1,-1,1000
300,12,2,1436,736,18.749,4.687,1259
301,12,3,1488,768,19.844,4.961,1112
302,12,4,1532,800,17.682,4.42,1028
303,12,5,1596,808,20.962,5.24,855
304,12,6,1668,780,25.107,6.277,911
305,12,7,1716,812,18.749,4.687,732
306,12,8,1748,852,16.648,4.162,880
307,12,9,1772,880,11.985,2.996,962
308,12,10,1816,852,16.95,4.237,712
309,12,11,1820,780,23.436,5.859,1107
310,12,12,1828,732,15.815,3.954,804
311,12,13,1856,736,9.192,2.298,859
312,12,14,1860,700,11.772,2.943,1402
313,12,15,1840,640,20.555,5.139,740
314,12,16,1828,584,18.613,4.653,1140
315,12,17,1792,532,20.555,5.139,919
316,12,18,1824,472,22.1,5.525,765
317,12,19,1856,432,16.648,4.162,823
318,12,20,1900,480,21.162,5.291,935
319,12,21,1964,476,20.841,5.21,1123
320,12,22,2020,484,18.385,4.596,826
321,12,23,2040,440,15.708,3.927,585
322,13,1,472,792,-1,-1,1596
323,13,2,552,828,28.511,7.128,1636
324,13,3,572,916,29.329,7.332,1559
325,13,4,520,984,27.821,6.955,1565
326,13,5,452,992,22.252,5.563,1411
327,13,6,444,924,22.252,5.563,1411
328,13,7,512,896,23.9,5.975,1468
329,13,8,524,956,19.886,4.972,1376
330,13,9,588,1020,29.416,7.354,2039
331,13,10,676,1072,33.22,8.305,1486
332,13,11,740,1040,23.255,5.814,1726
333,13,12,704,992,19.5,4.875,1375
334,13,13,668,936,21.636,5.409,1258
335,13,14,604,888,26,6.5,1590
336,13,15,616,832,18.613,4.653,1149
337,13,16,636,732,33.144,8.286,1553
338,13,17,652,676,18.928,4.732,1406
339,13,18,684,608,24.425,6.106,1212
340,13,19,744,640,22.1,5.525,1186
341,13,20,832,684,31.976,7.994,1443
342,13,21,916,656,28.777,7.194,1323
343,13,22,992,624,26.8,6.7,1212
344,13,23,1040,596,18.06,4.515,1332
345,13,24,1088,560,19.5,4.875,1416
346,13,25,1156,592,24.425,6.106,1100
347,13,26,1200,680,31.976,7.994,1209
348,13,27,1220,708,11.183,2.796,1682
349,13,28,1268,732,17.441,4.36,1384
350,13,29,1360,760,31.254,7.814,1389
351,13,30,1444,784,28.392,7.098,1543
352,13,31,1480,736,19.5,4.875,1429
353,13,32,1500,684,18.107,4.527,1269
354,13,33,1568,672,22.441,5.61,938
355,13,34,1660,632,32.604,8.151,1521
356,13,35,1712,632,16.9,4.225,1390
357,13,36,1764,600,19.844,4.961,1080
358,13,37,1788,560,15.16,3.79,999
359,13,38,1780,508,17.099,4.275,964
360,13,39,1812,432,26.8,6.7,1175
361,13,40,1860,452,16.9,4.225,1278
362,13,41,1916,408,23.146,5.786,195
363,13,42,1884,364,17.682,4.42,1239
364,13,43,1900,316,16.444,4.111,1527
365,13,44,1976,272,28.541,7.135,850
366,13,45,2028,244,19.194,4.799,893
367,14,1,1028,1440,-1,-1,1828
368,14,2,988,1492,21.322,5.33,1586
369,14,3,932,1556,27.638,6.91,1410
370,14,4,892,1560,13.065,3.266,1936
371,14,5,828,1544,21.44,5.36,1564
372,14,6,852,1484,21.002,5.251,1877
373,14,7,868,1392,30.349,7.587,1539
374,14,8,848,1280,36.976,9.244,616
375,14,9,884,1168,38.234,9.559,1632
376,14,10,980,1128,33.8,8.45,1750
377,14,11,1028,1040,32.578,8.144,1580
378,14,12,1084,1024,18.928,4.732,1688
379,14,13,1196,992,37.857,9.464,1133
380,14,14,1260,1024,23.255,5.814,1536
381,14,15,1324,1024,20.8,5.2,574
382,14,16,1336,968,18.613,4.653,1525
383,14,17,1396,1056,34.615,8.654,1232
384,14,18,1508,1052,36.423,9.106,448
385,14,19,1544,1120,25.006,6.251,989
386,14,20,1612,1160,25.64,6.41,1116
387,14,21,1636,1240,27.145,6.786,1179
388,14,22,1596,1300,23.436,5.859,1036
389,14,23,1580,1368,22.704,5.676,1113
390,14,24,1584,1440,23.436,5.859,1191
391,14,25,1592,1484,14.534,3.634,1101
392,14,26,1644,1496,17.344,4.336,1048
393,14,27,1668,1504,8.222,2.055,250
394,14,28,1644,1560,19.801,4.95,352
395,14,29,1604,1676,39.878,9.97,1071
396,14,30,1540,1648,22.704,5.676,1530
397,14,31,1564,1712,22.214,5.554,1048
398,14,32,1568,1784,23.436,5.859,1434
399,14,33,1540,1860,26.323,6.581,974
400,14,34,1520,1856,6.629,1.657,908
401,14,35,1540,1948,30.598,7.65,1948
402,14,36,1492,2028,30.321,7.58,1469
403,15,1,1340,1524,-1,-1,1948
404,15,2,1428,1568,31.976,7.994,1608
405,15,3,1488,1656,34.615,8.654,1439
406,15,4,1388,1708,36.631,9.158,319
407,15,5,1288,1688,33.144,8.286,2304
408,15,6,1220,1620,31.254,7.814,2007
409,15,7,1240,1524,31.87,7.967,1494
410,15,8,1332,1572,33.725,8.431,1342
411,15,9,1412,1588,26.515,6.629,1107
412,15,10,1480,1656,31.254,7.814,1957
413,15,11,1480,1768,36.4,9.1,2048
414,15,12,1516,1860,32.108,8.027,1224
415,15,13,1556,1944,30.237,7.559,1924
416,15,14,1620,1904,24.528,6.132,1217
417,15,15,1688,1872,24.425,6.106,1380
418,15,16,1760,1836,26.162,6.54,1045
419,15,17,1836,1844,24.836,6.209,1204
420,15,18,1924,1852,28.718,7.179,1228
421,15,19,2004,1940,38.652,9.663,1490
422,15,20,2000,1984,14.359,3.59,1052
